Sr.No,Hospital Name,Address,City,State,Pin Code
150,Shree Narayana Hospital - Raipur,"Near Ganj Mandi, Behind Sec-5, Devendra Nagar, Pandri, Raipur, Near Ganj Nandi",Raipur,Chhattisgarh,492001
151,Metro Hospital & Diabetes Research Centre,"Kouhakunda Kouhakunda Chakradhar Nagar, Near Pahad Mandir",Raigarh,Chhattisgarh,496001
152,Mittal Institute of Medical Science,"Near Holy Cross Kapa School, Lodhi Para Chowk, Pandari",Raipur,Chhattisgarh,492001
153,Krishna Hospital - Korba,"Plot No.5, 6, 7 Mangalam Vihar, Kosabadi Korba",Korba,Chhattisgarh,495677
154,Dr. R.L. Hospital & Trauma Centre,"Infront Of Ploice Petrol Pump, Opp. Police Petrol Pump",Raigarh,Chhattisgarh,496001
155,Shri Krishna Hospital - Raipur,"Main Road, New Rajendra Nagar",Raipur,Chhattisgarh,492001
156,"Sparsh Multispeciality Hospital, Bhilai","Shri Ram Market, Sirsa Road, Ram Nagar",Bhilai,Chhattisgarh,490023
157,Prasad Netralaya Korba,"C1,C2-17, Niharika Marg, Chattisgarh Korba",Korba,Chhattisgarh,495677
158,ADITYA NURSING HOME - DHAMTARI,"Kacheri Chowk Sadar Bazar,",Dhamtari,Chhattisgarh,493773
159,MUNDRA HOSPITAL - BILASPUR,"Mangla Chowk, Vincent Palloti School",Bilaspur,Chhattisgarh,495001
160,SHRI SHISHU BHAWAN HOSPITAL,"Madhya Nagari Chowk Idgah Chow, Idgah Chowk",Bilaspur,Chhattisgarh,495001
161,SHRI RAM HOSPITAL - RAIPUR,"Dagania,Mahadeoghat Road, Mahadeaghat Road",Raipur,Chhattisgarh,492013
162,Shree Retina Care Hospital,"Hig-28, Main Road, Shankar Nagar Square",Raipur,Chhattisgarh,492007
163,Pratham Hospital - Bilaspur,"Bahtarai Road, Near Sarkanda Police Thana",Bilaspur,Chhattisgarh,495006
164,Dubey Nursing Home - Bilaspur,"Gond Para, Subesh Nagar",Bilaspur,Chhattisgarh,495001
165,Shri Balaji Trauma & Super Speciality Hosital,"District Hospital Camps, Kosabad",Korba,Chhattisgarh,495677
166,Bilaspur Hospital,"Main Road Mangla,",Bilaspur,Chhattisgarh,495001
167,ALTIS HOSPITAL,Kohka - Junwani Road,Bhilai,Chhattisgarh,490020
168,SANKALP EYE HOSPITAL - BILASPUR,"Shirkant Verma Marg Rama Magneto Mall Road, Near Sony Show Room,",Bilaspur,Chhattisgarh,495001
169,AARBEE INSTITUTE OF MEDICAL SCIENCES,"Swarna Jayanti Nagar Ring Road No 2, Patrakaar Colony,",Bilaspur,Chhattisgarh,495001
170,Sarwa Trauma Hospital-Raipur,"G E Road Tatyapara Raipur, Near Hanuman Temple",Raipur,Chhattisgarh,492001
171,APEX SUPER SPECIALITY HOSPITAL IVF CENTRE,"Atal Chowk, Chatamuda Bypass Road, Beside R K Multiplex",Raigarh,Chhattisgarh,496001
172,SHRI SANKALP MEDICAL AND RESEARCH INSTITUTE PVT LT,"Near Sarona Raiway Station Ring Road No1, Sarona Ring Road No. 1",Raipur,Chhattisgarh,492001
173,SMC Heart Institute And Ivf Research Centre,"Infront Of Bsnl Office, Vip Estate, Vidhan Sabha, Road, Near Ashoka Ratan, Shankar Nagar, Kamardih",Raipur,Chhattisgarh,492007
174,OM Hospital - Raipur,"Near Hp Petrol Pump, Mahadev Ghat Road, Raipura Chowk",Raipur,Chhattisgarh,492001
175,"NKH MULTISPECIALITY HOSPITAL AND TRAUMA
CENTRE","New Bus Stand Road Gaurav Path, Parsuram Chowk",Champa,Chhattisgarh,495671
176,SUNSHINE MULTISPECIALITY HOSPITAL - DURG,"Plot No-23/4 North Vasundhara Nagar Bhilai-03, Charoda",Durg,Chhattisgarh,490025
177,WE CARE MULTISPECIALITY HOSPITAL ( A UNIT OF SYNER,"Gtb Plaza, Beside Airtel Office, Ring Road 01, Telibandha",Raipur,Chhattisgarh,492001
178,Petals Newborn & Children Hospital,"Bheemsen Bhawan Marg, Samta Colony, Samta Colony",Raipur,Chhattisgarh,492001
179,"Metro Hospital & Cancer
Institute","21, Community Centre, Preet Vihar",New Delhi,Delhi,110092
180,"Kukreja Hospital & Heart
Centre","C-1, Vishal Enclave, Rajouri Garden",New Delhi,Delhi,110027
181,Metro Heart Institute (Lajpat Nagar),"14, Ring Road, Lajpat Nagar - Iv",New Delhi,Delhi,110024
182,Centre for Sight - Safdarjung Enclave,"B-5/24, Safdarjung Enclave",New Delhi,Delhi,110029
183,Sir Gangaram Hospital,Rajender Nagar,New Delhi,Delhi,110060
184,BHARTI EYE FOUNDATION,"1/ 3 East Patel Nagar, New Delhi",New Delhi,Delhi,110008
185,Dr. Shroff's Charity Eye Hospital-New Delhi,"5027 , Kedar Nath Road, Daryaganj,",New Delhi,Delhi,110002
186,Mahesh Hospital-New Delhi,"#Patpar Ganj Society Complex D-437,West, Vinodnagar Ip Extn, Main Road Opp. Mandawali P. S",New Delhi,Delhi,110092
187,"Sehgal Maternity & Nursing
Home","A-6, Panchwati, Near Azadpur Sabzee Mandi",New Delhi,Delhi,110033
188,Sharp Sight Centre(East),"81, Defence Enclave Opp. Preet Vihar, Vikas Marg, Delhi",New Delhi,Delhi,110092
189,Sri Balaji Action Medical Institute - New Delhi,"Fc- 34, A-4, Paschim Vihar, New Delhi",New Delhi,Delhi,110063
190,RLKC Hospital Metro Heart Institute,"Pandav Nagar, Naraina Road",New Delhi,Delhi,110008
191,Surya Kiran Hospital-,"31,Roshan Mandi,Najafgarh,New Delhi-110043,",New Delhi,Delhi,110043
192,Dr. Kapur's The Healing Touch Eye Centre,"D-8, Vikas Puri",New Delhi,Delhi,110018
193,Khanna Eye Centre,"E-368 Vikas Marg, Nirman Vihar",New Delhi,Delhi,110092
194,Action Cancer Hospital-New Delhi,"H2/Fc 34, A 4, Paschim Vihar, Near Sri Balaji Action Hospital",New Delhi,Delhi,110063
195,Vision Eye Hospital,"F-24/136, Sector 7,Rohini, New Delhi-85, , Near Ayodhya Chowk/Dividing Road Of 6 And 7 Sector",New Delhi,Delhi,110085
196,AHUJA LASER EYE CENTRE.,"212, Parmanand Colony,Main Road, Mukherjee Nagar, , Near Kingsway Camp",New Delhi,Delhi,110009
197,CENTRE FOR SIGHT - DWARKA,"Plot No 9 Sector 9, Dwarka",New Delhi,Delhi,110077
198,Bharti Eye Hospital,"E-52 Greater Kailash Part- I, New Delhi",New Delhi,Delhi,110048
199,Swasthik Hospital (A Unit of Sushom Healthcare),"A-9, Raguvir Enclave, Dhichaon Chowk, Najafgarh,",New Delhi,Delhi,110043
200,Dr. Nanda Eye Centre,"A-200, Sector-8, Dwarka, New Delhi",New Delhi,Delhi,110075
201,Park Hospital - New Delhi,"12, Meera Enclave,Chowkhandi, Near Kesho Pur Depot Outer Ring Road",New Delhi,Delhi,110018
202,Mahajan Eye Centre,"Ad-21A Pitampura Outer Ring Road, Near Madhuban Chowk",New Delhi,Delhi,110034
203,Karunasindhu Eye Hospital,"Bakkarwala, Nangloi Najafgargh Road,",New Delhi,Delhi,110041
204,Tarak Hospital India Private Ltd.,"C-7, Jai Bharat Enclave, Dwarka More",New Delhi,Delhi,110059
205,Maharaja Agrasen Hospital- Dwarka,"Plot No.1, Sector 01 Near Petrol Pump, Dwarka",New Delhi,Delhi,110075
206,Cygnus Mls Superspeciality Hospital,"Plot No 4, Main Kanjhawala Road, Rama Vihar",New Delhi,Delhi,110081
207,Universal Hospital (unit of UCHS India Pvt Ltd),"Bypass Road, Molarband, Extn. Badarpur",New Delhi,Delhi,110044
208,Visitech Eye Centre(U/o Synergy Eye Care LLP),"A-10, South Extn. Ii",New Delhi,Delhi,110049
209,Ayushman Hospital & Health Services,"Sector – 10, Dwarka",New Delhi,Delhi,110075
210,Delhi Multi Speciality Hospital,"1-21, Vijay Vihar, Phase -2, Near Mother Dejry",New Delhi,Delhi,110085
211,SAMAR HOSPITAL (A UNIT OF ADVAITA HEALTHCARE),"Plot No 18, Opp. St.Thomas School, Gola Vihar, Opp St. Thomas School",New Delhi,Delhi,110071
212,Kapil Multispeciality Hospital,"A-1, Shastri Park, Near Joseph & Mary Public, School, Nathupura More Burari, Near Joseph & Mary Public School",New Delhi,Delhi,110084
213,Maharaja Agrasen Multispeciality Hospital (Wlco),"Bawana Road, Narela, Near. Maharaja Agrasen Public School",New Delhi,Delhi,110040
214,Victor Hospitals,"Malbhat, Margoa",Margao,Goa,403601
215,Vishwa Sanjivani Health Centre,"Mapsekar Building Mapsekar Building Vasco Da Gama, Near Old Mpt Hospital",Southgoa,Goa,403802
